In_preprint	Study	Sample	Experiment	Run	Run_count	Platform	Country	Region	Collection_date	First_created	Date_tree	Date_tree_order	Viridian_result	Genbank_accession	Genbank_other_runs	In_Viridian_tree	In_intersection	Artic_primer_version	Viridian_amplicon_scheme	Viridian_N	Genbank_N	Viridian_pangolin	Viridian_scorpio	Genbank_pangolin	Genbank_scorpio	Genbank_tree_name	Viridian_cons_len	Viridian_cons_het	Viridian_pangolin_1.29	Viridian_scorpio_1.29
T	PRJEB47121	SAMEA9781395	ERX6172603	ERR6546375	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	306	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29810	0	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781396	ERX6172604	ERR6546376	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	199	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29807	3	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781397	ERX6172605	ERR6546377	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	295	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29808	16	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781398	ERX6172606	ERR6546378	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	287	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29808	13	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781399	ERX6172607	ERR6546379	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	F	F	.	COVID-ARTIC-V3	535	.	B.1.617.2	Delta (B.1.617.2-like)	.	.	.	29800	18	B.1.617.2	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781400	ERX6172608	ERR6546380	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	285	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29808	0	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781401	ERX6172609	ERR6546381	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	285	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781402	ERX6172610	ERR6546382	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	285	.	AY.100	Delta (B.1.617.2-like)	.	.	.	29800	3	AY.100	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781403	ERX6172611	ERR6546383	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	286	.	AY.122	Delta (B.1.617.2-like)	.	.	.	29800	1	AY.122	Delta (B.1.617.2-like)
T	PRJEB47121	SAMEA9781404	ERX6172612	ERR6546384	1	ILLUMINA	Estonia	none	2021-08-02	2021-08-22	2021-08-02	Date	PASS	.	.	T	F	.	COVID-ARTIC-V3	742	.	AY.4.4	Delta (AY.4-like)	.	.	.	29788	0	AY.4.4	Delta (AY.4-like)
